Date,Open,High,Low,Close,Adj Close,Volume
2009-10-21,525.000000,693.750000,525.000000,693.750000,693.750000,200
2009-10-22,712.500000,806.250000,712.500000,806.250000,806.250000,200
2009-10-23,806.250000,900.000000,806.250000,900.000000,900.000000,300
2009-10-26,881.250000,881.250000,750.000000,750.000000,750.000000,0
2009-10-27,750.000000,862.500000,712.500000,862.500000,862.500000,0
2009-10-28,862.500000,862.500000,862.500000,862.500000,862.500000,0
2009-10-29,862.500000,862.500000,862.500000,862.500000,862.500000,0
2009-10-30,862.500000,862.500000,862.500000,862.500000,862.500000,0
2009-11-02,768.750000,768.750000,768.750000,768.750000,768.750000,0
2009-11-03,825.000000,843.750000,562.500000,600.000000,600.000000,0
2009-11-04,750.000000,750.000000,693.750000,693.750000,693.750000,0
2009-11-05,468.750000,468.750000,468.750000,468.750000,468.750000,0
2009-11-06,468.750000,468.750000,468.750000,468.750000,468.750000,0
2009-11-09,378.750000,393.750000,187.500000,337.500000,337.500000,0
2009-11-10,318.750000,318.750000,281.250000,300.000000,300.000000,0
2009-11-11,300.000000,300.000000,187.500000,300.000000,300.000000,2800
2009-11-12,187.500000,375.000000,187.500000,225.000000,225.000000,500
2009-11-13,375.000000,375.000000,232.500000,232.500000,232.500000,0
2009-11-16,225.000000,281.250000,225.000000,240.000000,240.000000,600
2009-11-17,240.000000,240.000000,225.000000,228.750000,228.750000,200
2009-11-18,240.000000,240.000000,228.750000,240.000000,240.000000,0
2009-11-19,232.500000,375.000000,225.000000,236.250000,236.250000,700
2009-11-20,262.500000,300.000000,262.500000,281.250000,281.250000,0
2009-11-23,296.250000,337.500000,273.750000,337.500000,337.500000,700
2009-11-24,337.500000,375.000000,337.500000,375.000000,375.000000,0
2009-11-25,367.500000,367.500000,341.250000,367.500000,367.500000,0
2009-11-27,367.500000,468.750000,367.500000,450.000000,450.000000,100
2009-11-30,442.500000,442.500000,288.750000,307.500000,307.500000,200
2009-12-01,318.750000,348.750000,318.750000,337.500000,337.500000,0
2009-12-02,348.750000,356.250000,348.750000,356.250000,356.250000,0
2009-12-03,363.750000,412.500000,356.250000,363.750000,363.750000,100
2009-12-04,367.500000,375.000000,337.500000,375.000000,375.000000,100
2009-12-07,375.000000,412.500000,375.000000,393.750000,393.750000,0
2009-12-08,412.500000,431.250000,375.000000,393.750000,393.750000,0
2009-12-09,386.250000,393.750000,386.250000,393.750000,393.750000,0
2009-12-10,393.750000,468.750000,393.750000,468.750000,468.750000,0
2009-12-11,468.750000,525.000000,468.750000,487.500000,487.500000,0
2009-12-14,465.000000,468.750000,465.000000,468.750000,468.750000,0
2009-12-15,450.000000,450.000000,450.000000,450.000000,450.000000,0
2009-12-16,450.000000,468.750000,438.750000,450.000000,450.000000,100
2009-12-17,450.000000,450.000000,450.000000,450.000000,450.000000,0
2009-12-18,457.500000,457.500000,450.000000,450.000000,450.000000,0
2009-12-21,438.750000,438.750000,431.250000,431.250000,431.250000,0
2009-12-22,393.750000,427.500000,375.000000,427.500000,427.500000,0
2009-12-23,393.750000,431.250000,393.750000,431.250000,431.250000,0
2009-12-24,412.500000,412.500000,405.000000,405.000000,405.000000,0
2009-12-28,450.000000,525.000000,450.000000,468.750000,468.750000,100
2009-12-29,468.750000,468.750000,450.000000,450.000000,450.000000,0
2009-12-30,450.000000,450.000000,450.000000,450.000000,450.000000,0
2009-12-31,420.000000,431.250000,307.500000,431.250000,431.250000,0
2010-01-04,431.250000,431.250000,393.750000,412.500000,412.500000,0
2010-01-05,412.500000,412.500000,412.500000,412.500000,412.500000,0
2010-01-06,412.500000,412.500000,408.750000,408.750000,408.750000,0
2010-01-07,408.750000,408.750000,408.750000,408.750000,408.750000,0
2010-01-08,408.750000,408.750000,378.750000,378.750000,378.750000,0
2010-01-11,393.750000,393.750000,393.750000,393.750000,393.750000,0
2010-01-12,378.750000,378.750000,378.750000,378.750000,378.750000,0
2010-01-13,356.250000,367.500000,356.250000,356.250000,356.250000,0
